PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;OPLEIDINGSFASE ACTUEEL;SOORT DIPLOMA;2012 MAN;2012 VROUW;2013 MAN;2013 VROUW;2014 MAN;2014 VROUW;2015 MAN;2015 VROUW;2016 MAN;2016 VROUW
Gelderland;200;APELDOORN;WO kleine univ.;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;bachelor;wo bachelor;17;2;12;2;12;1;7;5;17;2
Gelderland;200;APELDOORN;WO kleine univ.;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);60257;M Theologie;voltijd onderwijs;master;wo master;3;1;6;1;12;0;14;1;6;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;bachelor;wo bachelor;86;75;113;69;116;79;94;72;126;96
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;bachelor;wo bachelor;43;14;41;34;62;21;56;23;72;27
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);60644;M Business Administration;voltijd onderwijs;master;wo master;3;4;129;105;118;125;92;99;85;96
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);66401;M Economics;voltijd onderwijs;master;wo master;44;24;53;34;54;31;66;29;76;46
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);66834;M Bedrijfskunde;voltijd onderwijs;master;wo master;144;126;0;0;0;0;0;0;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;bachelor;wo bachelor;8;40;8;27;8;49;6;39;8;34
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;bachelor;wo bachelor;18;16;12;17;12;21;8;29;11;30
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;bachelor;wo bachelor;65;285;80;283;65;281;54;244;54;231
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56606;B Politicologie;voltijd onderwijs;bachelor;wo bachelor;34;23;30;27;40;25;30;16;43;20
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56607;B Pedagogische Wetenschappen;voltijd onderwijs;bachelor;wo bachelor;6;224;9;209;4;173;4;183;3;151
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56615;B Communicatiewetenschap;voltijd onderwijs;bachelor;wo bachelor;28;51;20;28;31;43;17;47;17;37
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56627;B Bestuurskunde;voltijd onderwijs;bachelor;wo bachelor;21;17;21;24;22;21;26;24;27;17
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56947;B Geografie, Planologie en Milieu;voltijd onderwijs;bachelor;wo bachelor;37;25;45;14;41;15;38;25;34;14
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60132;M Social and Cultural Science: Comparative Research on Societies (research);voltijd onderwijs;master;wo master;0;7;5;5;6;5;2;4;8;17
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60203;M Political Science;voltijd onderwijs;master;wo master;1;0;25;11;27;14;15;20;29;17
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60253;M Anthropology and Development Studies;voltijd onderwijs;master;wo master;6;23;1;15;5;17;7;22;2;11
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60260;M Psychologie;voltijd onderwijs;master;wo master;71;255;40;210;43;240;59;250;56;224
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60266;M Behavioural Science (research);voltijd onderwijs;master;wo master;5;31;9;24;6;32;11;15;12;26
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60466;M Human Geography;duaal onderwijs;master;wo master;0;0;1;0;1;0;0;0;2;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60466;M Human Geography;voltijd onderwijs;master;wo master;0;1;34;25;37;32;38;35;33;28
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66601;M Sociologie;voltijd onderwijs;master;wo master;9;10;7;7;9;5;7;8;3;14
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66606;M Politicologie;voltijd onderwijs;master;wo master;10;8;0;0;0;0;0;0;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66607;M Pedagogische Wetenschappen;voltijd onderwijs;master;wo master;8;177;7;195;2;165;2;170;5;179
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66613;M Onderwijskunde;voltijd onderwijs;master;wo master;1;7;2;10;1;25;6;21;5;35
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66615;M Communicatiewetenschap;voltijd onderwijs;master;wo master;21;32;17;46;22;39;25;43;23;44
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66620;M Sociale Geografie;voltijd onderwijs;master;wo master;26;26;0;0;0;0;0;0;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66622;M Planologie;duaal onderwijs;master;wo master;0;0;1;0;2;0;0;2;0;1
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66622;M Planologie;voltijd onderwijs;master;wo master;31;14;24;24;31;18;29;15;29;14
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66627;M Bestuurskunde;voltijd onderwijs;master;wo master;30;23;30;32;33;28;42;36;41;25
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);66839;M Environment and Society Studies;voltijd onderwijs;master;wo master;1;7;9;14;5;9;8;3;8;9
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56551;B Geneeskunde;voltijd onderwijs;bachelor;wo bachelor;114;246;111;221;92;201;103;214;114;213
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56560;B Tandheelkunde;voltijd onderwijs;bachelor;wo bachelor;19;42;18;52;20;46;13;41;18;48
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);56990;B Biomedische Wetenschappen;voltijd onderwijs;bachelor;wo bachelor;29;61;27;54;25;42;27;57;36;69
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);66551;M Geneeskunde;voltijd onderwijs;master;wo master;99;212;91;212;91;218;95;196;108;235
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);66560;M Tandheelkunde;voltijd onderwijs;master;wo master;7;10;1;1;0;0;0;0;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);66588;M Tandheelkunde;voltijd onderwijs;master;wo master;10;22;22;40;27;43;20;43;21;49
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;gezondheidszorg;n.v.t. (gezondheidszorg);66990;M Biomedical Sciences;voltijd onderwijs;master;wo master;30;49;29;54;18;40;28;56;32;59
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56842;B Informatiekunde;voltijd onderwijs;bachelor;wo bachelor;7;1;2;1;9;0;3;1;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56857;B Scheikunde;voltijd onderwijs;bachelor;wo bachelor;25;13;23;6;21;13;22;11;9;11
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56860;B Biologie;voltijd onderwijs;bachelor;wo bachelor;37;74;58;58;59;75;75;81;33;75
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56943;B Chemistry;voltijd onderwijs;bachelor;wo bachelor;0;0;0;0;0;0;0;0;2;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56944;B Molecular Life Sciences;voltijd onderwijs;bachelor;wo bachelor;0;0;0;0;0;0;0;0;1;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56948;B Science;voltijd onderwijs;bachelor;wo bachelor;4;1;9;4;12;10;10;5;10;4
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56978;B Informatica;voltijd onderwijs;bachelor;wo bachelor;18;2;18;1;13;0;25;3;31;1
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56980;B Wiskunde;voltijd onderwijs;bachelor;wo bachelor;18;8;16;9;27;12;9;16;16;9
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56981;B Kunstmatige Intelligentie;voltijd onderwijs;bachelor;wo bachelor;15;9;23;5;15;3;23;6;32;15
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);56984;B Natuur- en Sterrenkunde;voltijd onderwijs;bachelor;wo bachelor;18;4;22;7;36;10;26;4;42;7
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);59304;B Moleculaire Levenswetenschappen;voltijd onderwijs;bachelor;wo bachelor;16;23;13;24;15;27;11;23;12;17
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60255;M Information Sciences;voltijd onderwijs;master;wo master;16;0;13;2;12;3;13;2;20;2
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60303;M Molecular Life Sciences;voltijd onderwijs;master;wo master;0;0;0;0;13;11;11;18;8;20
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60322;M Molecular Mechanisms of Disease (research);voltijd onderwijs;master;wo master;8;9;6;11;3;16;3;19;6;11
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60364;M Computing Science;voltijd onderwijs;master;wo master;0;0;1;0;26;1;34;4;21;2
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60506;M Cognitive Neuroscience (research);voltijd onderwijs;master;wo master;16;17;12;23;11;36;14;28;13;35
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60610;M Medical Biology;voltijd onderwijs;master;wo master;16;26;13;19;9;27;14;34;28;25
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);60810;M Environmental Sciences;voltijd onderwijs;master;wo master;1;2;3;3;0;0;0;0;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66857;M Chemistry;voltijd onderwijs;master;wo master;25;15;31;7;19;8;20;6;20;6
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66860;M Biology;voltijd onderwijs;master;wo master;17;17;16;20;24;22;25;28;32;18
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66978;M Informatica;voltijd onderwijs;master;wo master;9;0;18;4;0;0;0;0;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66980;M Mathematics;voltijd onderwijs;master;wo master;9;1;8;6;8;6;17;6;11;7
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66981;M Artificial Intelligence;voltijd onderwijs;master;wo master;8;3;5;2;9;3;8;4;13;11
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66982;M Science;voltijd onderwijs;master;wo master;8;4;4;5;1;1;8;1;6;5
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);66984;M Physics and Astronomy;voltijd onderwijs;master;wo master;12;4;11;5;18;5;17;9;27;8
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;natuur;n.v.t. (natuur);69304;M Moleculaire Levenswetenschappen;voltijd onderwijs;master;wo master;19;14;12;13;0;0;0;0;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68500;M Leraar Voorbereidend Hoger Onderwijs in Aardrijkskunde;deeltijd onderwijs;master;wo postmaster;1;1;0;2;3;0;0;3;1;1
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68500;M Leraar Voorbereidend Hoger Onderwijs in Aardrijkskunde;voltijd onderwijs;master;wo postmaster;2;2;10;1;4;1;7;6;2;3
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68501;M Leraar Voorbereidend Hoger Onderwijs in Algemene Economie;deeltijd onderwijs;master;wo postmaster;1;0;0;0;0;0;1;0;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68501;M Leraar Voorbereidend Hoger Onderwijs in Algemene Economie;voltijd onderwijs;master;wo postmaster;2;0;0;1;1;0;0;0;2;1
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68502;M Leraar Voorbereidend Hoger Onderwijs in Biologie;deeltijd onderwijs;master;wo postmaster;1;1;1;1;0;0;1;0;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68502;M Leraar Voorbereidend Hoger Onderwijs in Biologie;voltijd onderwijs;master;wo postmaster;6;5;7;10;2;5;8;9;2;7
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68503;M Leraar Voorbereidend Hoger Onderwijs in Duits;deeltijd onderwijs;master;wo postmaster;1;0;0;1;0;1;0;0;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68503;M Leraar Voorbereidend Hoger Onderwijs in Duits;voltijd onderwijs;master;wo postmaster;1;1;0;2;1;1;0;1;3;7
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68504;M Leraar Voorbereidend Hoger Onderwijs in Engels;deeltijd onderwijs;master;wo postmaster;1;1;1;1;1;2;0;0;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68504;M Leraar Voorbereidend Hoger Onderwijs in Engels;voltijd onderwijs;master;wo postmaster;8;11;2;7;3;22;3;12;1;9
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68505;M Leraar Voorbereidend Hoger Onderwijs in Filosofie;deeltijd onderwijs;master;wo postmaster;0;1;1;2;0;1;0;1;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68505;M Leraar Voorbereidend Hoger Onderwijs in Filosofie;voltijd onderwijs;master;wo postmaster;0;0;2;1;2;0;1;1;1;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68506;M Leraar Voorbereidend Hoger Onderwijs in Geschiedenis en Staatsinrichting;deeltijd onderwijs;master;wo postmaster;2;0;1;1;2;2;3;0;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68506;M Leraar Voorbereidend Hoger Onderwijs in Geschiedenis en Staatsinrichting;voltijd onderwijs;master;wo postmaster;10;3;12;4;8;7;9;7;13;5
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68507;M Leraar Voorbereidend Hoger Onderwijs in Godsdienst en Levensbeschouwing;deeltijd onderwijs;master;wo postmaster;0;1;1;0;0;0;0;1;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68507;M Leraar Voorbereidend Hoger Onderwijs in Godsdienst en Levensbeschouwing;voltijd onderwijs;master;wo postmaster;1;1;0;1;4;0;1;1;1;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68508;M Leraar Voorbereidend Hoger Onderwijs in Kunstgeschiedenis en Culturele en Kunstzinnige Vorming/Kunst Algemeen;voltijd onderwijs;master;wo postmaster;0;0;0;2;1;2;0;3;1;2
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68509;M Leraar Voorbereidend Hoger Onderwijs in Maatschappijleer en Maatschappijwetenschappen;deeltijd onderwijs;master;wo postmaster;1;2;0;3;0;0;0;0;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68509;M Leraar Voorbereidend Hoger Onderwijs in Maatschappijleer en Maatschappijwetenschappen;voltijd onderwijs;master;wo postmaster;4;6;5;5;3;4;4;3;3;4
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68511;M Leraar Voorbereidend Hoger Onderwijs in Natuurkunde;deeltijd onderwijs;master;wo postmaster;0;0;0;0;1;0;0;0;1;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68511;M Leraar Voorbereidend Hoger Onderwijs in Natuurkunde;voltijd onderwijs;master;wo postmaster;0;0;0;0;1;0;1;0;1;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68512;M Leraar Voorbereidend Hoger Onderwijs in Nederlands;deeltijd onderwijs;master;wo postmaster;1;3;1;0;0;0;0;2;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68512;M Leraar Voorbereidend Hoger Onderwijs in Nederlands;voltijd onderwijs;master;wo postmaster;5;5;3;12;3;11;0;7;1;9
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68513;M Leraar Voorbereidend Hoger Onderwijs in Scheikunde;deeltijd onderwijs;master;wo postmaster;0;0;0;1;1;0;1;0;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68513;M Leraar Voorbereidend Hoger Onderwijs in Scheikunde;voltijd onderwijs;master;wo postmaster;1;1;0;1;1;1;0;1;1;1
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68514;M Leraar Voorbereidend Hoger Onderwijs in Spaans;deeltijd onderwijs;master;wo postmaster;0;0;0;2;0;0;0;0;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68514;M Leraar Voorbereidend Hoger Onderwijs in Spaans;voltijd onderwijs;master;wo postmaster;0;0;0;1;0;2;1;4;0;1
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68516;M Leraar Voorbereidend Hoger Onderwijs in Wiskunde;deeltijd onderwijs;master;wo postmaster;1;0;0;0;0;0;1;1;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68516;M Leraar Voorbereidend Hoger Onderwijs in Wiskunde;voltijd onderwijs;master;wo postmaster;0;0;0;1;0;0;1;1;1;1
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68517;M Leraar Voorbereidend Hoger Onderwijs in Frans;deeltijd onderwijs;master;wo postmaster;0;0;0;1;0;0;0;2;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68517;M Leraar Voorbereidend Hoger Onderwijs in Frans;voltijd onderwijs;master;wo postmaster;0;3;3;1;2;1;0;5;0;1
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68518;M Leraar Voorbereidend Hoger Onderwijs in Management en Organisatie;deeltijd onderwijs;master;wo postmaster;1;0;1;0;2;3;0;0;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68518;M Leraar Voorbereidend Hoger Onderwijs in Management en Organisatie;voltijd onderwijs;master;wo postmaster;5;2;0;2;1;2;0;1;1;2
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68519;M Leraar Voorbereidend Hoger Onderwijs in Griekse en Latijnse Taal en Cultuur;deeltijd onderwijs;master;wo postmaster;0;0;0;0;1;0;1;0;1;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;onderwijs;universitaire lerarenopleidingen;68519;M Leraar Voorbereidend Hoger Onderwijs in Griekse en Latijnse Taal en Cultuur;voltijd onderwijs;master;wo postmaster;3;2;4;6;1;4;1;2;1;10
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50017;B European Law School;voltijd onderwijs;bachelor;wo bachelor;9;22;18;31;9;41;18;40;20;35
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;deeltijd onderwijs;bachelor;wo bachelor;12;16;7;10;0;7;7;11;5;6
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;bachelor;wo bachelor;77;161;85;146;78;150;119;148;94;127
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);56828;B Notarieel Recht;deeltijd onderwijs;bachelor;wo bachelor;1;0;1;2;0;0;3;2;0;0
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);56828;B Notarieel Recht;voltijd onderwijs;bachelor;wo bachelor;19;25;7;28;4;17;13;33;14;19
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);60224;M International and European Law;voltijd onderwijs;master;wo master;5;18;14;24;8;16;7;10;7;11
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);60386;M Onderneming en Recht (research);voltijd onderwijs;master;wo master;0;4;1;3;2;2;2;0;3;5
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);60504;M European Law;voltijd onderwijs;master;wo master;9;18;24;15;15;24;18;18;16;13
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);66451;M Nederlands recht;deeltijd onderwijs;master;wo master;7;14;6;11;6;9;6;2;4;9
Gelderland;268;NIJMEGEN;reguliere inst.;21PM;Radboud Universiteit Nijmegen;recht;n.v.t. (recht);66451;M Nederlands recht;duaal onderwijs;master;wo master;0;0;0;0;2;0;1;2;0;0
